order_id,timestamp,location_x,location_y,prep_time_minutes,priority,sla_minutes
O001,2026-05-03 18:00:00,2,3,14,high,28
O002,2026-05-03 18:00:00,5,1,10,high,28
O003,2026-05-03 18:00:00,1,6,17,high,28
O004,2026-05-03 18:00:00,7,4,12,high,28
O005,2026-05-03 18:00:00,3,8,8,high,28
O006,2026-05-03 18:00:00,9,2,16,high,28
O007,2026-05-03 18:00:00,4,5,11,high,28
O008,2026-05-03 18:00:00,6,7,13,high,28
O009,2026-05-03 18:00:00,1,1,9,high,28
O010,2026-05-03 18:00:00,8,3,15,high,28
O011,2026-05-03 18:00:00,2,9,12,high,28
O012,2026-05-03 18:00:00,5,4,10,high,28
O013,2026-05-03 18:00:00,7,8,14,high,28
O014,2026-05-03 18:00:00,3,2,8,high,28
O015,2026-05-03 18:00:00,9,6,17,high,28
O016,2026-05-03 18:00:00,1,4,11,high,28
O017,2026-05-03 18:00:00,6,1,13,high,28
O018,2026-05-03 18:00:00,4,9,9,high,28
O019,2026-05-03 18:00:00,8,5,16,high,28
O020,2026-05-03 18:00:00,2,7,12,high,28
O021,2026-05-03 18:00:00,5,3,10,high,28
O022,2026-05-03 18:00:00,9,9,15,high,28
O023,2026-05-03 18:00:00,3,6,8,high,28
O024,2026-05-03 18:00:00,7,2,14,high,28
O025,2026-05-03 18:00:00,1,8,11,high,28
O026,2026-05-03 18:00:00,6,4,13,high,28
O027,2026-05-03 18:00:00,4,1,9,high,28
O028,2026-05-03 18:00:00,8,7,17,high,28
O029,2026-05-03 18:00:00,2,5,12,high,28
O030,2026-05-03 18:00:00,9,3,10,high,28
O031,2026-05-03 18:00:00,5,9,16,normal,35
O032,2026-05-03 18:00:00,3,4,8,normal,35
O033,2026-05-03 18:00:00,7,6,14,normal,35
O034,2026-05-03 18:00:00,1,2,11,normal,35
O035,2026-05-03 18:00:00,6,8,13,normal,35
O036,2026-05-03 18:00:00,4,3,9,normal,35
O037,2026-05-03 18:00:00,8,1,15,normal,35
O038,2026-05-03 18:00:00,2,6,12,normal,35
O039,2026-05-03 18:00:00,9,4,10,normal,35
O040,2026-05-03 18:00:00,5,7,17,normal,35
O041,2026-05-03 18:00:00,3,1,8,normal,35
O042,2026-05-03 18:00:00,7,9,14,normal,35
O043,2026-05-03 18:00:00,1,5,11,normal,35
O044,2026-05-03 18:00:00,6,3,13,normal,35
O045,2026-05-03 18:00:00,4,8,9,normal,35
