order_id,timestamp,location_x,location_y,prep_time_minutes,priority,sla_minutes
O001,2026-05-03 21:00:00,2,3,12,high,45
O002,2026-05-03 21:01:00,5,1,8,normal,50
O003,2026-05-03 21:02:00,1,6,15,high,40
O004,2026-05-03 21:03:00,7,4,10,normal,55
O005,2026-05-03 21:04:00,3,8,6,low,60
O006,2026-05-03 21:05:00,9,2,14,high,42
O007,2026-05-03 21:06:00,4,5,9,normal,52
O008,2026-05-03 21:07:00,6,7,11,low,58
O009,2026-05-03 21:08:00,1,1,7,high,38
O010,2026-05-03 21:09:00,8,3,13,normal,54
O011,2026-05-03 21:10:00,2,9,10,low,62
O012,2026-05-03 21:11:00,5,4,8,high,44
O013,2026-05-03 21:12:00,7,8,12,normal,50
O014,2026-05-03 21:13:00,3,2,6,low,60
O015,2026-05-03 21:14:00,9,6,15,high,40
O016,2026-05-03 21:15:00,1,4,9,normal,53
O017,2026-05-03 21:16:00,6,1,11,low,59
O018,2026-05-03 21:17:00,4,9,7,high,43
O019,2026-05-03 21:18:00,8,5,14,normal,51
O020,2026-05-03 21:19:00,2,7,10,low,61
O021,2026-05-03 21:20:00,5,3,8,high,45
O022,2026-05-03 21:21:00,9,9,13,normal,55
O023,2026-05-03 21:22:00,3,6,6,low,58
O024,2026-05-03 21:23:00,7,2,12,high,41
O025,2026-05-03 21:24:00,1,8,9,normal,52
O026,2026-05-03 21:25:00,6,4,11,low,60
O027,2026-05-03 21:26:00,4,1,7,high,44
O028,2026-05-03 21:27:00,8,7,15,normal,50
O029,2026-05-03 21:28:00,2,5,10,low,62
O030,2026-05-03 21:29:00,9,3,8,high,42
BROKEN_ORDER,not-a-date,x,1,-4,urgent,0
OFF_GRID,2026-05-03 21:31:00,99,99,8,high,25
