order_id,timestamp,location_x,location_y,prep_time_minutes,priority,sla_minutes
PD001,2026-05-03 20:00:00,9,9,12,high,22
PD002,2026-05-03 20:02:00,9,9,8,high,22
PD003,2026-05-03 20:04:00,9,9,15,high,22
PD004,2026-05-03 20:06:00,9,9,10,high,22
PD005,2026-05-03 20:08:00,9,9,6,high,22
PD006,2026-05-03 20:10:00,9,9,14,high,22
PD007,2026-05-03 20:12:00,9,9,9,high,22
PD008,2026-05-03 20:14:00,9,9,11,high,22
PD009,2026-05-03 20:16:00,9,9,7,high,22
PD010,2026-05-03 20:18:00,9,9,13,high,22
O011,2026-05-03 20:20:00,2,9,10,low,62
O012,2026-05-03 20:22:00,5,4,8,high,44
O013,2026-05-03 20:24:00,7,8,12,normal,50
O014,2026-05-03 20:26:00,3,2,6,low,60
O015,2026-05-03 20:28:00,9,6,15,high,40
O016,2026-05-03 20:30:00,1,4,9,normal,53
O017,2026-05-03 20:32:00,6,1,11,low,59
O018,2026-05-03 20:34:00,4,9,7,high,43
O019,2026-05-03 20:36:00,8,5,14,normal,51
O020,2026-05-03 20:38:00,2,7,10,low,61
O021,2026-05-03 20:40:00,5,3,8,high,45
O022,2026-05-03 20:42:00,9,9,13,normal,55
O023,2026-05-03 20:44:00,3,6,6,low,58
O024,2026-05-03 20:46:00,7,2,12,high,41
O025,2026-05-03 20:48:00,1,8,9,normal,52
O026,2026-05-03 20:50:00,6,4,11,low,60
O027,2026-05-03 20:52:00,4,1,7,high,44
O028,2026-05-03 20:54:00,8,7,15,normal,50
O029,2026-05-03 20:56:00,2,5,10,low,62
O030,2026-05-03 20:58:00,9,3,8,high,42
O031,2026-05-03 21:00:00,5,9,14,normal,54
O032,2026-05-03 21:02:00,3,4,6,low,59
O033,2026-05-03 21:04:00,7,6,12,high,43
O034,2026-05-03 21:06:00,1,2,9,normal,51
O035,2026-05-03 21:08:00,6,8,11,low,61
O036,2026-05-03 21:10:00,4,3,7,high,45
O037,2026-05-03 21:12:00,8,1,13,normal,53
O038,2026-05-03 21:14:00,2,6,10,low,58
O039,2026-05-03 21:16:00,9,4,8,high,44
O040,2026-05-03 21:18:00,5,7,15,normal,50
O041,2026-05-03 21:20:00,3,1,6,low,60
O042,2026-05-03 21:22:00,7,9,12,high,41
O043,2026-05-03 21:24:00,1,5,9,normal,52
O044,2026-05-03 21:26:00,6,3,11,low,62
O045,2026-05-03 21:28:00,4,8,7,high,43
O046,2026-05-03 21:30:00,8,2,14,normal,54
O047,2026-05-03 21:32:00,2,4,10,low,59
O048,2026-05-03 21:34:00,9,7,8,high,42
O049,2026-05-03 21:36:00,5,5,13,normal,51
O050,2026-05-03 21:38:00,3,9,6,low,61
